Tiempo_s,Corriente_A,SoC,Voltaje_V,Temperatura_C,Potencia_W,C_rate,Calor_Generado_W,Energia_Wh
148,15.0,0.2233333333333325,3.492999999999999,29.46329903817708,52.39499999999998,3.0,3.375,2.1086916666666666
149,15.0,0.22416666666666582,3.493999999999999,29.48537128687322,52.40999999999998,3.0,3.375,2.12325
150,15.0,0.22499999999999915,3.494999999999999,29.50735554379125,52.42499999999999,3.0,3.375,2.1378125
151,15.0,0.22583333333333247,3.495999999999999,29.529252159713412,52.43999999999998,3.0,3.375,2.1523791666666665
152,15.0,0.2266666666666658,3.496999999999999,29.551061484023556,52.454999999999984,3.0,3.375,2.16695
153,15.0,0.22749999999999912,3.497999999999999,29.57278386471269,52.469999999999985,3.0,3.375,2.1815249999999997
154,15.0,0.22833333333333244,3.498999999999999,29.594419648384548,52.484999999999985,3.0,3.375,2.1961041666666663
155,15.0,0.22916666666666577,3.499999999999999,29.615969180261114,52.499999999999986,3.0,3.375,2.2106874999999997
156,15.0,0.2299999999999991,3.500999999999999,29.637432804188137,52.514999999999986,3.0,3.375,2.225275
157,15.0,0.23083333333333242,3.501999999999999,29.65881086264061,52.52999999999999,3.0,3.375,2.2398666666666665
158,15.0,0.23166666666666574,3.502999999999999,29.680103696728242,52.54499999999998,3.0,3.375,2.2544625
159,15.0,0.23249999999999907,3.503999999999999,29.70131164620089,52.55999999999999,3.0,3.375,2.2690625
160,15.0,0.2333333333333324,3.504999999999999,29.722435049453985,52.57499999999999,3.0,3.375,2.2836666666666665
161,15.0,0.23416666666666572,3.505999999999999,29.743474243533942,52.58999999999998,3.0,3.375,2.298275
162,15.0,0.23499999999999904,3.506999999999999,29.764429564143526,52.60499999999998,3.0,3.375,2.3128875
163,15.0,0.23583333333333237,3.5079999999999987,29.785301345647206,52.61999999999998,3.0,3.375,2.3275041666666665
164,15.0,0.2366666666666657,3.508999999999999,29.8060899210765,52.634999999999984,3.0,3.375,2.342125
165,15.0,0.23749999999999902,3.509999999999999,29.826795622135283,52.649999999999984,3.0,3.375,2.35675
166,15.0,0.23833333333333234,3.510999999999999,29.847418779205082,52.664999999999985,3.0,3.375,2.3713791666666664
167,15.0,0.23916666666666567,3.511999999999999,29.86795972135035,52.679999999999986,3.0,3.375,2.3860124999999996
